meeting_id,title,call_type,start_time,duration_minutes,sentiment_label,sentiment_score,primary_theme,themes,modules,risk_score,topics,action_item_count,negative_sentence_count,positive_sentence_count,notable_quote
01KQ2217B066855A3B7814CB,Aegis / Meridian Capital - Service Reliability Discussion,External Customer,2026-03-14T11:45:00.000Z,43.4,mixed-negative,2.4,Reliability & Incident Response,Reliability & Incident Response; Compliance & Audit Readiness; Competitive Pressure,Detect; Comply,5.69,outage; churn risk; infrastructure reliability; compliance; vendor review; incident communication,4,16,8,"Suki describes a six-hour monitoring blackout as a serious risk event, noting she had to explain the failure to her CISO during active regulatory audit conversations."
01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,Internal,2026-03-12T13:45:00.000Z,48.0,negative,1.8,Reliability & Incident Response,"Reliability & Incident Response; Renewal, Churn & Commercial Risk; Product Roadmap & Feature Gaps",Detect; Comply,8.88,product outage; churn risk; sla compliance; incident communication; internal monitoring failure; customer escalation,4,29,0,"Aisha reveals that a customer — not the internal team — flagged the outage at 2 AM, triggering the internal escalation"
01KQ25D8AED944B5D2A9FF60,Support Case #1514 - Meridian Capital Granular Restore Request,Support,2026-03-26T14:00:00.000Z,19.3,mixed-positive,3.4,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps; Backup & Recovery,Comply; Protect,2.5,feature request; granular restore; backup and recovery; rto compliance; aws ebs; workaround,4,3,3,"Sarah confirms that granular file-level restore is not currently supported in Aegis Protect, validating Jason's suspicion"
01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,Internal,2026-03-20T15:30:00.000Z,26.2,mixed-negative,2.3,Competitive Pressure,Competitive Pressure; Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect; Comply,6.18,platform outage; competitive displacement; customer retention; post-mortem; product launch; compliance,4,18,0,James Mitchell reveals Hartfield Financial has already been contacted by competitor SentinelShield following the outage
01KQ2B4878EC7B3EE5547007,Aegis / Stratos Cloud - Audit Preparation,External Customer,2026-03-06T13:30:00.000Z,23.3,very-positive,4.7,Compliance & Audit Readiness,Compliance & Audit Readiness,Detect; Comply,1.6,compliance automation; soc 2; iso 27001; audit preparation; product demo; platform integration,4,1,29,"Damien describes a painful, fully manual compliance process costing significant engineering time"
01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,Support,2026-03-12T15:45:00.000Z,21.1,very-negative,1.6,Reliability & Incident Response,Reliability & Incident Response; Competitive Pressure,Detect; Protect,10.0,service outage; threat monitoring failure; sla breach; churn risk; incident escalation; proactive communication failure,4,23,3,"Julia reveals Blackridge has had zero threat visibility for over three hours, with a team of analysts staring at a dead screen — a critical situation for a financial services firm that is a constant target."
01KQ31ED026F745FE2A55CCD,Identity Team - Q2 Roadmap,Internal,2026-04-13T11:45:00.000Z,47.6,positive,4.4,Identity & Access Management,Identity & Access Management; Product Roadmap & Feature Gaps; Compliance & Audit Readiness; Competitive Pressure,Detect; Comply; Identity,4.85,roadmap planning; identity & access management; scim / provisioning; adaptive mfa; compliance integration; competitive landscape,4,0,26,"Sofia flags a clear cluster of support tickets around JIT provisioning and SSO configuration, directly informing Q2 prioritization."
01KQ325BDEDEE927D2970775,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,Support,2026-03-14T17:15:00.000Z,11.4,mixed-negative,2.4,Reliability & Incident Response,Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect,5.69,product outage; alert latency; sla breach; incident communication; ot security; service credits,4,13,2,"Paula reveals alerts have been delayed by 45 minutes to an hour since Sunday/Monday, making threat monitoring effectively useless for their OT environment"
01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,External Customer,2026-03-12T12:15:00.000Z,48.1,mixed-negative,2.1,Reliability & Incident Response,"Reliability & Incident Response; Competitive Pressure; Renewal, Churn & Commercial Risk; Compliance & Audit Readiness; Product Roadmap & Feature Gaps",Detect; Comply,8.26,outage; compliance; churn risk; sla review; incident response; renewal,4,19,4,"Grace describes 36 hours of zero threat monitoring visibility for her security team in a healthcare environment, expressing deep frustration."
01KQ38C4101D6774F2F02331,INCIDENT: Detect Pipeline Failure - War Room,Internal,2026-03-10T13:15:00.000Z,29.9,negative,1.8,Reliability & Incident Response,Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect,6.53,outage; pipeline failure; customer escalation; incident response; data loss; technical debt,4,28,0,Tom reveals the monitoring system failed to catch the outage promptly and the status page wasn't updated for 90 minutes after the initial failure
01KQ38FE02AEE5AA5157F042,Support Case #3296 - Pinnacle Insurance Comply v2 Report Formatting Issue,Support,2026-04-08T15:15:00.000Z,14.1,mixed-positive,3.4,Compliance & Audit Readiness,Compliance & Audit Readiness; Product Roadmap & Feature Gaps,Comply; Protect,1.6,product bug; compliance reporting; pdf rendering; new release issue; audit deadline; workaround,4,0,3,"Oliver describes three distinct formatting bugs in the SOC 2 PDF export: header truncation, table pagination breaking, and incorrect page count in footer."
01KQ3BD8DEEBC7FECD107F0F,Aegis / Blackridge Investments - HIPAA Compliance Review,External Customer,2026-04-21T14:15:00.000Z,49.1,very-positive,4.7,Compliance & Audit Readiness,Compliance & Audit Readiness; Product Roadmap & Feature Gaps,Detect; Comply,1.95,hipaa compliance; compliance reporting; proof of concept; logvault integration; multi-framework support; audit automation,4,3,34,"Julia describes spending two full weeks manually gathering audit evidence, with a near-miss on a compliance deadline, establishing the core pain point driving this evaluation."
01KQ3C837D7EF689408DCF95,Support Case #2638 - Pineridge Systems CloudPrime S3 Backup Connector,Support,2026-03-04T10:15:00.000Z,19.1,mixed-positive,3.9,Backup & Recovery,Backup & Recovery,Protect,1.25,aws s3 connector; backup failure; 403 error; iam permissions; service control policies; connector configuration,4,0,4,Yuki reports 403 error on backup jobs despite no IAM permission changes on their end
01KQ3CE40428CCC5FF433FFC,Detect Outage - Post-Incident Review,Internal,2026-03-18T16:30:00.000Z,21.4,mixed-negative,2.8,Reliability & Incident Response,Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect,4.58,outage post-mortem; infrastructure reliability; customer communication; product visibility; roadmap prioritization; renewal risk,4,4,3,Tom confirms customers had six hours of no threat monitoring alerts due to a single point of failure in the ingestion pipeline
01KQ3D8C1EF16C042F31FAFD,Aegis / Trailhead Marketplace - Renewal Confirmation,External Customer,2026-04-05T14:30:00.000Z,46.6,positive,4.5,"Renewal, Churn & Commercial Risk","Renewal, Churn & Commercial Risk; Compliance & Audit Readiness; Reliability & Incident Response",Detect; Comply; Protect,2.5,renewal; compliance; outage follow-up; product upsell; pricing; pci dss,4,2,36,Isaac raises the mid-March six-hour Detect outage that left his team blind during a promotional weekend
01KQ3F90FF9EBC3DB3632514,Identity Team - Sprint Retro,Internal,2026-03-28T16:00:00.000Z,26.0,mixed-positive,3.4,Identity & Access Management,Identity & Access Management; Reliability & Incident Response,Detect; Comply; Identity,1.95,sprint retrospective; identity management; sprint planning; estimation; scim provisioning; comply integration,4,8,7,"Sofia raises that the Detect outage directly impacted sprint 22 capacity, causing two tickets to be deprioritized"
01KQ410FB7E434BA3F99EE7D,Aegis / Axiom Labs - Multi-Year Renewal,External Customer,2026-04-17T09:45:00.000Z,48.8,mixed-positive,4.2,"Renewal, Churn & Commercial Risk","Renewal, Churn & Commercial Risk; Product Roadmap & Feature Gaps; Reliability & Incident Response; Competitive Pressure; Compliance & Audit Readiness; Identity & Access Management",Detect; Comply; Identity,4.85,renewal; contract negotiation; api rate limits; compliance reporting; platform outage; competitive displacement,4,0,36,Ryan acknowledges the March 6-hour Detect outage was unacceptable but praises the communication and transparency during and after the incident
01KQ41FB5CCFD9EA583FB020,Aegis / Harborview Banking - Threat Detection Tuning,External Customer,2026-03-05T15:30:00.000Z,36.3,mixed-positive,3.9,Identity & Access Management,Identity & Access Management; Customer Onboarding & Adoption; Product Roadmap & Feature Gaps,Detect; Comply; Identity,1.95,alert tuning; false positives; compliance; alert routing; data retention; financial services,4,6,5,"Patricia raises SOC alert fatigue as a top concern, with false positives degrading response times on real threats"
01KQ445B1B5B890316C9E300,Weekly Engineering Standup,Internal,2026-04-17T17:15:00.000Z,45.2,mixed-positive,3.5,Reliability & Incident Response,Reliability & Incident Response; Compliance & Audit Readiness; Product Roadmap & Feature Gaps,Detect; Comply,2.85,post-mortem follow-up; compliance bug; circuit breaker; load testing; incident response; runbook,4,0,0,"Sofia identifies a timeout bug in Comply v2 affecting enterprise customers with large tenant datasets across all compliance frameworks, noting it is not an edge case"
01KQ4529010F423FD9DB40BD,Win/Loss Analysis - Q1,Internal,2026-04-24T12:45:00.000Z,16.5,mixed-negative,2.4,Competitive Pressure,Competitive Pressure; Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect; Protect,6.04,win-loss analysis; competitive intelligence; reliability / outage impact; sales process; collateral gaps; q1 review,4,21,1,"Kevin reveals 34 closed-lost deals totaling $2.1M ACV in Q1, with SentinelShield appearing 9 times as a named competitor"
01KQ45C0AD36B351A3571940,Aegis / Silverline Brands - Comply v2 Early Access Demo,External Customer,2026-04-03T15:15:00.000Z,50.3,very-positive,4.8,Compliance & Audit Readiness,Compliance & Audit Readiness; Product Roadmap & Feature Gaps,Comply; Identity,2.5,compliance; pci dss; product demo; audit readiness; feature request; product integration,4,1,36,"Dominic identifies slow batch reporting as a historical pain point, validating the core value of v2's on-demand engine"
01KQ45C76AF3AEA6B3EA6697,Aegis / Steelpoint Manufacturing - Contract Review,External Customer,2026-03-24T17:45:00.000Z,34.6,mixed-negative,2.8,Reliability & Incident Response,"Reliability & Incident Response; Renewal, Churn & Commercial Risk; Competitive Pressure; Product Roadmap & Feature Gaps; Compliance & Audit Readiness",Detect; Comply; Protect,6.38,renewal; outage; sla; compliance; cmmc; competitive threat,4,4,3,"Harold raises the six-hour outage, noting that going dark on threat detection in a manufacturing OT environment was unacceptable"
01KQ45F6F7349D0A620571F1,Aegis / Brightpath Commerce - Competitive Evaluation,External Customer,2026-04-22T15:30:00.000Z,21.0,mixed-negative,2.6,Competitive Pressure,"Competitive Pressure; Reliability & Incident Response; Renewal, Churn & Commercial Risk; Product Roadmap & Feature Gaps",Detect; Comply; Protect,5.41,churn risk; outage post-mortem; competitor evaluation; alert fatigue; contract renewal; compliance,4,11,10,Kendra reveals Brightpath has been conducting a six-week security vendor evaluation and is seriously considering SentinelShield
01KQ46A9DE0AECB006D897A0,Detect Outage - Escalation Bridge,Internal,2026-03-11T11:00:00.000Z,17.1,negative,1.8,Reliability & Incident Response,Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect; Comply,9.23,service outage; incident response; customer communication; architecture gap; churn risk; sla compliance,4,25,0,Diana confirms all Detect customers have zero event processing and zero alert visibility during the outage
01KQ4D01DCB15C69672AB5AF,Aegis / Clearwater Medical - Comply v2 Deployment Kickoff,External Customer,2026-04-07T14:15:00.000Z,42.8,very-positive,4.8,Compliance & Audit Readiness,Compliance & Audit Readiness; Customer Onboarding & Adoption; Product Roadmap & Feature Gaps,Comply,1.6,onboarding; compliance; hipaa; soc 2; deployment; multi-framework support,4,0,35,"Ajay expresses strong relief about on-demand HIPAA reporting, referencing a painful 11 PM audit scramble"
01KQ4D504CE09A8F6ECA1F5A,Product Sync - Identity Roadmap,Internal,2026-02-09T17:30:00.000Z,39.4,mixed-positive,3.8,Identity & Access Management,Identity & Access Management; Product Roadmap & Feature Gaps,Identity,0.7,identity roadmap; mfa policy engine; sso connectors; qa process; sprint planning; infrastructure bottleneck,4,2,5,Nina flags that provisioning test environments is a recurring bottleneck causing time loss in QA cycles
01KQ4D71CDFB1045A2458216,Aegis / Bridgeport Health - Renewal Finalization,External Customer,2026-04-23T13:30:00.000Z,39.5,mixed-positive,4.1,Identity & Access Management,"Identity & Access Management; Reliability & Incident Response; Renewal, Churn & Commercial Risk",Detect; Comply; Protect; Identity,3.4,renewal; compliance; incident review; product update; expansion; healthcare security,4,3,36,"Evelyn raised concern about the six-hour Detect outage in March, noting she received board-level escalations"
01KQ4EE836687F95080D92AB,Detect Team - Sprint Planning,Internal,2026-02-05T14:15:00.000Z,25.6,mixed-positive,3.6,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps,Detect,1.6,sprint planning; pipeline architecture; single point of failure; ci/cd improvement; capacity planning; sprint retrospective,4,2,2,"Ananya flags a deeper architectural issue in the event ingestion layer, identifying a single point of failure with no redundancy or circuit breaker."
01KQ51DC4345D9DAE005678C,Aegis / Redwood Clinical - Product Feedback Session,External Customer,2026-02-22T13:15:00.000Z,40.3,mixed-positive,3.2,Compliance & Audit Readiness,Compliance & Audit Readiness; Product Roadmap & Feature Gaps; Competitive Pressure; Identity & Access Management,Comply; Protect; Identity,2.5,hipaa reporting; compliance tooling; feature gaps; product feedback; audit workflow; roadmap,4,3,7,"Thomas describes the core pain point: HIPAA reports are static and cannot be filtered by control family, forcing manual work in Excel during audits."
01KQ54917E3931712516916D,Aegis / Nimbus Platform - Comply v2 Preview,External Customer,2026-04-01T16:15:00.000Z,54.3,very-positive,4.8,Compliance & Audit Readiness,Compliance & Audit Readiness; Product Roadmap & Feature Gaps,Detect; Comply; Protect,2.5,compliance reporting; product demo; onboarding; pci dss; multi-framework support; upgrade rollout,4,1,37,"Keith describes his team spending three days pulling data for their last SOC 2 audit, immediately validating the pain point Comply v2 addresses"
01KQ560FF1570C5E7F71D752,Aegis / Coastal Living Co - Protect Module Expansion,External Customer,2026-04-19T15:15:00.000Z,45.7,very-positive,4.8,Compliance & Audit Readiness,Compliance & Audit Readiness; Backup & Recovery; Customer Onboarding & Adoption; Product Roadmap & Feature Gaps,Comply; Protect,2.5,onboarding; backup and recovery; hybrid environment; data protection; compliance; retail seasonality,4,1,28,Vanessa identifies fragmented dashboards and lack of unified visibility as her biggest pain point during peak seasons
01KQ56786DD1E8A1BF174FDD,Support Case #1993 - Forge Industries Comply v2 Early Access Question,Support,2026-04-03T15:30:00.000Z,25.6,very-positive,4.8,Compliance & Audit Readiness,Compliance & Audit Readiness; Product Roadmap & Feature Gaps,Comply; Identity,2.15,compliance reporting; product release; multi-framework support; feature request; upgrade migration; hipaa,4,0,34,"Elena reveals Comply v2 GA launch is only four days away on April 7th, far sooner than the customer expected"
01KQ56AA6B60801ABC01AB1C,Support Case #8179 - Clearwater Medical Overage Charges Dispute,Support,2026-04-10T17:30:00.000Z,21.5,mixed-negative,2.4,Compliance & Audit Readiness,"Compliance & Audit Readiness; Product Roadmap & Feature Gaps; Renewal, Churn & Commercial Risk; Customer Onboarding & Adoption",Detect; Comply,5.14,billing dispute; overage charges; product migration; outage impact; compliance reporting; alert misconfiguration,4,18,0,"Natalie reveals the $4,000+ overage charges were completely unexpected and references lingering frustration from the March outage"
01KQ56D878454E5783DC6D94,Support Case #3536 - Stratos Cloud LogVault Integration Timeout,Support,2026-04-22T12:30:00.000Z,12.8,mixed-negative,2.4,Reliability & Incident Response,Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect,3.34,technical issue; logvault integration; data backfill; circuit breaker; churn risk; incident follow-up,3,11,2,"Damien states the timeout issue is consistent, not intermittent, and that nothing changed on his end, implying the fault lies with Aegis."
01KQ5A966832A146DA4B7D41,Aegis / Summit Trust - Platform Concerns Discussion,External Customer,2026-03-26T16:00:00.000Z,53.0,mixed-negative,2.4,Identity & Access Management,"Identity & Access Management; Reliability & Incident Response; Renewal, Churn & Commercial Risk; Competitive Pressure",Detect; Identity,6.59,mfa enforcement; identity & access management; churn risk; support escalation; outage follow-up; renewal,4,19,5,Alicia reveals CISO has warned that failure to demonstrate consistent MFA enforcement by end of Q2 will trigger a platform reassessment
01KQ5AFAE8264DDC0ED2AE7F,Aegis / Crestline Wealth - Identity Module Deployment,External Customer,2026-04-24T16:45:00.000Z,35.7,very-positive,4.8,Compliance & Audit Readiness,Compliance & Audit Readiness; Identity & Access Management; Customer Onboarding & Adoption; Product Roadmap & Feature Gaps,Detect; Comply; Protect; Identity,1.95,identity deployment; privileged access management; mfa migration; compliance audit; entra id integration; compliance reporting,4,0,31,"Derek reveals audit flagged gaps in privileged access management and MFA coverage, driving urgency for Identity deployment"
01KQ5BB8521F99E55470206E,Detect Team - Sprint Planning,Internal,2026-03-02T09:15:00.000Z,25.1,positive,4.1,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps,Detect,0.7,sprint planning; bug fix; architecture; ingestion pipeline; alert deduplication; qa,4,0,0,Nina identifies two unresolved edge cases in DETECT-219 related to wildcard regex matching on the custom rule engine
01KQ5D47170D4828E89EDE37,Support Case #7537 - Forge Industries Detect Recovery Confirmation,Support,2026-03-18T14:45:00.000Z,27.8,mixed-positive,3.4,Reliability & Incident Response,Reliability & Incident Response,Detect,2.15,outage recovery; incident root cause; threat monitoring; data integrity; post-incident report; architectural remediation,4,2,4,"Dana raises concern about a single point of failure in critical threat monitoring infrastructure, calling it 'not a small thing'"
01KQ5EC1665DCFD7A6B62A59,Support Case #8749 - Coastal Living Co SAML Certificate Rotation Bug,Support,2026-03-29T15:15:00.000Z,10.1,mixed-negative,2.2,Reliability & Incident Response,Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect; Identity,4.52,saml certificate rotation; product bug; authentication failure; service outage; customer reliability concerns; identity federation,4,16,3,"Vanessa reveals that 60-70% of her workforce cannot authenticate into critical business tools on one of the busiest days of the week, characterizing it as a critical operational impact."
01KQ5F364545B542671FF9CE,Support Case #3546 - Meridian Capital SCIM Provisioning Request,Support,2026-03-07T13:30:00.000Z,21.3,mixed-positive,3.7,Identity & Access Management,Identity & Access Management; Compliance & Audit Readiness; Product Roadmap & Feature Gaps,Comply; Identity,2.5,scim provisioning; identity management; compliance; okta integration; deprovisioning; feature request,4,0,2,Suki flags that manual deprovisioning is becoming a compliance gap as auditors specifically ask about automated deprovisioning controls
01KQ65D43540846FA994B6C4,Aegis / Frostbyte AI - Product Feedback,External Customer,2026-04-25T14:45:00.000Z,39.4,mixed-positive,3.7,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps; Compliance & Audit Readiness; Identity & Access Management,Comply; Identity,1.95,role management; feature gap; soc 2 compliance; session timeout policy; product roadmap; identity access management,4,2,10,"Victor identifies the lack of nested role inheritance as the primary pain point, describing the current flat role model as error-prone and difficult to audit."
01KQ68FB3E9E60C4477CDAB4,Comply v2 - GA Deployment Plan,Internal,2026-04-01T17:45:00.000Z,29.5,very-positive,4.7,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps; Compliance & Audit Readiness,Detect; Comply,2.5,product launch; compliance reporting; infrastructure deployment; qa and testing; observability and alerting; rollback planning,4,0,27,"Nina flagged p99 latency of 22 seconds at 50 concurrent requests, exceeding the 15-second SLO target during load testing"
01KQ6A5CEAAFFBE3B0099E75,Support Case #6539 - Steelpoint Manufacturing LDAP Sync Failures,Support,2026-03-22T09:15:00.000Z,20.9,mixed-negative,2.4,Identity & Access Management,Identity & Access Management; Reliability & Incident Response; Product Roadmap & Feature Gaps,Detect; Identity,4.24,ldap sync failure; ssl certificate; support response time; active directory; product feedback; churn risk,4,12,2,"Harold mentions leadership is questioning whether they made the right call going with Aegis, citing both this incident and a prior Detect outage"
01KQ6CAA850EAFDC48B52846,Aegis / Ironworks Corp - Vendor Comparison Discussion,External Customer,2026-04-14T13:45:00.000Z,33.9,mixed-negative,2.6,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps; Reliability & Incident Response; Competitive Pressure; Compliance & Audit Readiness,Detect; Comply,8.11,outage; compliance reporting; competitive threat; ot security; trust recovery; sla negotiation,4,13,4,"Catherine reveals they are actively considering leaving Aegis, framing it as a serious internal discussion about fit"
01KQ764171AC27A3A94DC695,Detect Reliability - 30-Day Review,Internal,2026-04-07T13:45:00.000Z,45.8,mixed-negative,2.8,Reliability & Incident Response,"Reliability & Incident Response; Compliance & Audit Readiness; Renewal, Churn & Commercial Risk; Product Roadmap & Feature Gaps",Detect; Comply; Identity,5.48,post-incident review; service outage; compliance risk; customer retention; internal communications; product early access,4,7,8,"Diana reveals that Meridian Financial faced a real compliance audit problem due to the six-hour monitoring gap, with renewal at risk in August"
01KQ773D68723289E4A98889,Support Case #7572 - Brightpath Commerce Invoice Discrepancy,Support,2026-02-27T13:00:00.000Z,12.6,mixed-positive,3.7,"Renewal, Churn & Commercial Risk","Renewal, Churn & Commercial Risk; Backup & Recovery",Detect; Protect,0.7,billing dispute; invoice overage; data retention; backup policy; account management; usage monitoring,4,0,1,"Kendra identifies the unexpected data retention overage charge of 2.3 TB on the invoice, expressing surprise given their consistent data footprint"
01KQ77F2867FC54E13A8C495,Aegis / Brightpath Commerce - Detect Module Deployment,External Customer,2026-02-11T09:15:00.000Z,45.8,mixed-positive,3.9,Customer Onboarding & Adoption,Customer Onboarding & Adoption; Reliability & Incident Response,Detect,2.15,onboarding; deployment planning; alert fatigue; reliability incident; cloud infrastructure; integrations,4,0,8,"Kendra confirms spring peak season deadline in late March, creating urgency for the deployment timeline"
01KQ7B802912366FC0A24D4F,All Hands - April Update,Internal,2026-04-26T11:45:00.000Z,48.8,mixed-positive,3.6,Product Roadmap & Feature Gaps,Product Roadmap & Feature Gaps; Reliability & Incident Response; Compliance & Audit Readiness,Detect; Comply,4.3,outage post-mortem; product launch; compliance reporting; reliability engineering; roadmap planning; product bug,4,5,3,Ravi explains the root cause of the March Detect outage: a single point of failure in the ingestion layer causing a six-hour customer-facing blackout with no alerts or live dashboard data.
01KQ7BF0D56037FF89DC89B6,Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,Support,2026-03-11T17:45:00.000Z,10.0,very-negative,1.4,Reliability & Incident Response,"Reliability & Incident Response; Product Roadmap & Feature Gaps; Renewal, Churn & Commercial Risk; Compliance & Audit Readiness",Detect; Comply,6.19,platform outage; detect pipeline failure; pci compliance; churn risk; incident communication; fraud monitoring,4,23,0,"Isaac reveals Detect alerts have been completely silent for 15+ hours with stale dashboard data, during peak retail transaction volume"
01KQ7F58A2E07B857C24624D,Competitive Landscape Review,Internal,2026-02-19T09:15:00.000Z,20.2,mixed-positive,3.4,Competitive Pressure,Competitive Pressure; Product Roadmap & Feature Gaps,Detect; Comply; Protect; Identity,3.75,competitive analysis; product gaps; siem integration; compliance features; pricing pressure; roadmap prioritization,4,1,2,"Jordan flags SentinelShield appearing more frequently in deal cycles, identified as the most immediate competitive threat in Detect"
01KQ7FA71CF70FAFEE4B6251,Aegis / Nova Retail Group - Renewal Discussion,External Customer,2026-03-21T11:15:00.000Z,33.4,mixed-negative,2.6,Competitive Pressure,"Competitive Pressure; Renewal, Churn & Commercial Risk; Reliability & Incident Response; Compliance & Audit Readiness; Product Roadmap & Feature Gaps",Detect; Comply,6.31,renewal; service outage; compliance reporting; churn risk; competitive evaluation; product feedback,4,13,5,"Stephanie reveals the six-hour Detect outage left Nova with zero threat visibility across 200+ retail locations, calling it a liability and a direct challenge to justify the spend to her CISO."
